No,약어,영문/원문,한글 해석
2540,TH/N,"Thread/Nylon,Cupsole","실/나일론, 컵솔"
2541,TH/P,Thread/Polyester,실/폴리에스터
2542,THC,Terminal Handling Charge,Terminal Handling Charge
2543,TI,Transition Integration Meeting,전환 통합 회의
2544,TiO2,Titanium Dioxide,이산화티타늄
2545,TL,Team Leader,Team Leader
2546,TLP,Transformation Leadership Program,Transformation Leadership Program
2547,TLS,Tooling Level Sheet,Tooling Level Sheet
2548,TM,Team Member,팀 구성원
2549,TM,Technology Manual,Technology Manual
2550,TMS,Transportaion Management System,운송 관리 시스템
2551,TMT,Time Measurement Tool,시간 측정 도구
2552,TNASN,Tentative Advanced Shipping Notice,Tentative Advanced Shipping Notice
2553,TNS,The Natural Step,The Natural Step
2554,TO,Table Of Organization,조직 편제표
2555,TOEIC,Test Of English For International Communication,국제 커뮤니케이션을 위한 영어 능력 시험
2556,Tolerance,어떤 값으로부터 허용되는 편차.,Allowed deviation from a given value.
2557,TOP,Total Opportunities,전체 기회 수
2558,TPA,Total Performance Analysis,종합 성능 분석
2559,TPE,Thermo Plastic Elastomer,열가소성 엘라스토머
2560,TPL,Tech Package Lite,Tech Package Lite
2561,TPM,Total Productive Maintenance,전사적 생산보전
2562,TPM,Technology Proliferation Meeting,기술 확산 회의
2563,TPM,Total Productivity Management,Total Productivity Management
2564,TPP,Thread Principal Palette,Thread Principal Palette
2565,TPS,Toyota Production System,Toyota Production System (도요타 생산 방식)
2566,TPU,Thermoplastic Poly Urethane,Thermoplastic Poly Urethane
2567,TPVR,Thermal Plastic Vinyl Resin,열가소성 비닐 수지
2568,TQC,Total Quality Control,전사 품질 관리
2569,TQM,Total Quality Management,전사적 품질 경영
2570,TR,Truck,트럭
2571,TR,Trim,Trim
2572,TR/BPU,"Trim/Buffed,Sanded Pu Foam Coating","트림/버핑, 샌딩 처리된 PU 폼 코팅"
2573,TR/DM,Trim/Decorative Screen Mesh,Trim/Decorative Screen Mesh
2574,TR/LAM,Trim/Laminates Of Pvc Or Pvf,PVC 또는 PVF 트림/라미네이트
2575,TR/M,Trim/Miscellaneous Constructions,트림/기타 부자재 구조
2576,TR/NBPU,Trim/Non-Buffed Pu Coating,Trim/Non-Buffed Pu Coating
2577,TR/NCS,Trim/Non-Coated Synthetic Suede,트림/비코팅 합성 스웨이드
2578,TR/PVS,Trim/Pvc And Pvf 코팅,트림/PVC 및 PVF 코팅
2579,Track In,Open MES에서 공정 작업의 Event Status를 관리하기 위한 용어 - Track In  작업을 위해 공정에 투입 창신 Passcard의 상태에서는 다음의 용어와 같음 - Input  Track In,"Open MES에서 공정 작업의 Event Status를 관리하기 위한 용어  
- Track In: 작업을 위해 공정에 투입  
창신 Passcard의 상태에서는 다음과 같은 용어와 같음  
- Input = Track In"
2580,Track Out,Open MES에서 공정 작업의 Event Status를 관리하기 위한 용어 - Track Out  공정의 작업을 완료 창신 Passcard의 상태에서는 다음의 용어와 같음 - Production  Track Out,"Open MES에서 공정 작업의 Event Status를 관리하기 위한 용어 - Track Out  
공정 작업 완료 시 창신 Passcard의 상태에서 사용하는 용어 - Production Track Out"
2581,Transfer posting,이미 기표된 금액을 한 계정에서 다른 계정으로 기표하는 것. 예를 들어대체기표는 예비적인 결산작업을 하는 경우에 생성된다.,"이미 기표된 금액을 한 계정에서 다른 계정으로 옮겨 다시 기표하는 것. 예를 들어, 대체기표는 예비 결산 작업을 수행할 때 생성된다."
2582,Transfer posting (MM),"재고 이전이나 장부 기록에만 영향을 미치는(물리적 이동이 일어나지 않는) 변경들을 의미하는 용어로서, 그러한 변경으로는 재고의 분류상의 변경이 있다.예·공장 내부나 공장간의 재고 이전(stock transfer)·품질 검사로부터 릴리즈·위탁 재고의 회사 소유 재고로 이전·배치 분할(batch splitting).","It is used as a term for changes that affect only stock transfer or book records (where no physical movement occurs), such as classification changes of inventory.  
Examples:  
· Stock transfer within a factory or between factories  
· Release from quality inspection  
· Transfer of consignment stock to company-owned stock  
· Batch splitting"
2583,Translation date,금액을 다른 통화로 환산하는 기준일.,금액을 다른 통화로 환산하는 기준일.
2584,TRG,Technology Revolution Group,Technology Revolution Group
2585,TRV,Targeted Remediation Visit,대상 맞춤 시정 조치 방문
2586,TSD,Total Systems Development,전체 시스템 개발
2587,TT,Telegraphic Transfer,전신 송금
2588,TT,Takt Time,택트 타임
2589,TT,Tight Tolerance,정밀 공차
2590,TTL,Transition To Lean,린으로의 전환
2591,TTM,Tech Transition Management,기술 전환 관리
2592,TTMC,Title Transfer Model Code,Title Transfer Model Code
2593,TTT,Third Time Through,세 번째 반복 과정
2594,TVM,Technology Validation Meeting,기술 검증 미팅
2595,TWO,Thin Web Outsole,씬 웹 아웃솔
2596,TXL,Textile,직물
2597,TZ,Tear Zero,티어 제로
2598,U3D,Universal 3D,Universal 3D
2599,UAT,User Acceptance Testing,사용자 인수 테스트
2600,UCB,Custom Color Basketball,Custom Color Basketball
2601,UCF,Custom Color Fitness,커스텀 컬러 피트니스
2602,UCK,Custom Color Childrens,맞춤 색상 아동용
2603,UCO,Custom Color Other,Custom Color Other
2604,UCQ,Custom Color Racquet,커스텀 컬러 라켓
2605,UCR,Custom Color Running,커스텀 컬러 러닝
2606,UCW,Custom Color Walking,Custom Color Walking
2607,UDE,Undesirable Effects,Undesirable Effects
2608,UMC,Upper Mold Components,어퍼 몰드 부품
2609,UNDP,United Nation Development Program,United Nation Development Program
2610,Unit of issue,"창고에서 출고되는 material의 양을 표현하는 단위. 출고 단위는 재고보관(stockkeeping) 단위 이외의 단위로 material 소비, 재고이전, 이전입력(transfer posting), 재고조사를 기록하도록 해준다.","Unit for expressing the quantity of material issued from the warehouse. The issue unit allows recording material consumption, stock transfers, transfer postings, and physical inventory in units other than the stockkeeping unit."
2611,Unit of issue (MM),"창고에서 출고되는 material의 양을 표현하는 단위. 출고 단위는 재고보관(stockkeeping) 단위 이외의 단위로 material 소비, 재고이전, 이전입력(transfer posting), 재고조사를 기록하도록 해준다.","창고에서 출고되는 자재의 수량을 나타내는 단위. 출고 단위는 재고 보관(stockkeeping) 단위와는 다른 단위로, 자재 소비, 재고 이전, 이전 입력(transfer posting), 재고 조사를 기록할 수 있게 해준다."
2612,Unit of measure,Material의 치수 또는 수량을 결정하는 단위. 다음은 SAP R/3 시스템에서 사용하는 단위들이다- 기본 단위(base unit of measure)- 입력 단위(unit of entry)- 출고 단위(unit of issue)- 주문 단위(order unit)- 판매 단위(sales unit),Material의 치수 또는 수량을 결정하는 단위. 다음은 SAP R/3 시스템에서 사용하는 단위들이다- 기본 단위(base unit of measure)- 입력 단위(unit of entry)- 출고 단위(unit of issue)- 주문 단위(order unit)- 판매 단위(sales unit)
2613,Unrestricted-use stock,"즉시출고가 가능한 재고량아무런 사용 제한이 없는, 회사 소유의 material 재고.","즉시 출고가 가능한 재고량  
아무런 사용 제한이 없는, 회사 소유의 material 재고."
2614,Unrestricted-use stock (MM),"아무런 사용 제한이 없는, 회사 소유의 material 재고.",No usage limitations and company-owned material inventory.
2615,UOM,Unit Of Measurement,단위 시스템
2616,UP/PACK,Upper/Package Material,어퍼/패키지 소재
2617,UPC,Universal Product Code,범용 상품 코드
2618,UPC,Upper Cutting,어퍼 재단
2619,UPOD,Unit Per Operator Per Day,오퍼레이터 1인당 1일 생산 단위 수
2620,UPS,Upper Stitching,어퍼 봉제
2621,UPS,Uninterrupted Power Supply,무정전 전원 공급장치
2622,UPW,Unit Per Week,주당 생산 단위 수
2623,USA,United State Of America Region,United State Of America Region
2624,USD,United States Dollar,미국 달러
2625,USSF,Us Strategic Footwear,Us Strategic Footwear
2626,UST,Under Storage Tank,지하 저장 탱크
2627,UTMB,The Ultra - Trail du Mont - Blanc,The Ultra - Trail du Mont - Blanc
2628,UV,Ultra Violet,자외선
2629,V.A.T,Value Added Taxes,부가가치세
2630,VA,Vinyl Acetate,비닐 아세테이트
2631,VA,Value Analysis,가치 분석
2632,VA,Value Audit,Value Audit
2633,VA/VE,Value Analysis / Value Engineering,가치 분석 / 가치 공학
2634,Validation,사전에 정의한 검증규칙에 의해 시스템이 전표입력시 자동으로 Check하는 기능.,System automatically checks vouchers at entry time based on predefined validation rules.
2635,Valuation,법률상의 요건(일반적으로 인정된 회계원칙으로 해석됨)에 맞추어 특정 시점에 고정자산이나 유동자산에 속한 모든 상품이나 채무액의 가치를 계산하는 것.,To calculate the value of all goods or liabilities belonging to fixed assets or current assets at a specific point in time in accordance with legal requirements (interpreted as generally accepted accounting principles).
2636,Valuation area,재고 가액이 관리되는 조직단위. Plant Level임,재고 가액이 관리되는 조직 단위. Plant 레벨을 의미함.
2637,Valuation class,"G/L 계정그룹에 material을 할당하는 것. 평가 클라스는 평가관련 트랜잭션(예를들어, 물품 이동)의 결과로 갱신해야할 G/L 계정을 결정한다. 어느 평가클라스가 유효한가는 material 유형에 의존한다. 몇개의 평가클라스들이 하나의 material 유형에 적용된다. 또한 하나의 평가클라스는 몇개의 material 유형에 적용된다.","G/L 계정그룹에 material을 할당하는 것. 평가 클라스는 평가관련 트랜잭션(예를들어, 물품 이동)의 결과로 갱신해야할 G/L 계정을 결정한다. 어느 평가클라스가 유효한가는 material 유형에 의존한다. 몇개의 평가클라스들이 하나의 material 유형에 적용된다. 또한 하나의 평가클라스는 몇개의 material 유형에 적용된다."
2638,Valuation class (MM),"G/L 계정그룹에 material을 할당하는 것. 평가 클라스는 평가관련 트랜잭션(예를들어, 물품 이동)의 결과로 갱신해야할 G/L 계정을 결정한다. 어느 평가클라스가 유효한가는 material 유형에 의존한다. 몇개의 평가클라스들이 하나의 material 유형에 적용된다. 또한 하나의 평가클라스는 몇개의 material 유형에 적용된다.","G/L 계정그룹에 material을 할당하는 것. 평가 클라스는 평가관련 트랜잭션(예를들어, 물품 이동)의 결과로 갱신해야할 G/L 계정을 결정한다. 어느 평가클라스가 유효한가는 material 유형에 의존한다. 몇개의 평가클라스들이 하나의 material 유형에 적용된다. 또한 하나의 평가클라스는 몇개의 material 유형에 적용된다."
2639,Value-added tax,매출부가가치세(output tax)와 매입부가가치세(input tax)에 관한 일반용어.,Sales VAT (output tax)와 Purchase VAT (input tax)에 관한 일반적인 용어.
2640,VAM,Vinyl Acetate Monomer,Vinyl Acetate Monomer
2641,Variant BOM,특정 제품 또는 동일한 부품을 상당부분 공유하는 여러 제품을 나타낼 수 있도록 복수의 BOM을 결합한 형태.,Multiple BOMs combined so that they can represent a specific product or multiple products that share a significant portion of identical parts.
2642,VAS,Value Added Service,부가가치 서비스
2643,VCA,Value & Culture Administration,Value & Culture Administration
2644,VCCI,Vietnam Chamber Of Commerce And Industry,베트남 상공회의소
2645,VCP,Vendor Compliance Penalty,Vendor Compliance Penalty
2646,VCP,Vendor Compliance Program,공급업체 컴플라이언스 프로그램
2647,VCTP,Voice Of Consumer Critical To Process,소비자 의견이 공정(프로세스)에 매우 중요함
2648,VCTQ,Voice Of Consumer Critical To Quality,Voice Of Consumer Critical To Quality
2649,VE,Value Engineering,Value Engineering
2650,Vendor,외부에서 지불대상 material이나 용역을 조달하는 비즈니스 파트너. 더 넓은 의미의 ＂supplier(공급자)＂도 그러한 의미로 많이 사용된다. supplier＂는 판매와 관련없는 트랜잭션에 관계할 수도 있고 또한 내부 공급원이 해당될 수도 있다.,"외부에서 비용을 지불해야 하는 material이나 용역을 조달하는 비즈니스 파트너. 더 넓은 의미에서 “supplier(공급자)”도 같은 의미로 많이 사용된다. “supplier”는 판매와 관련 없는 트랜잭션에 관여할 수도 있고, 내부 공급원을 가리킬 수도 있다."
